ts_code,name,list_date,list_status,total_mv,popularity_ranking
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
603690.SH,至纯科技,2017-01-13 00:00:00,L,1198505.8866,3
